Country/Dependency,Population,O+,A+,B+,AB+,O-,A-,B-,AB-
Egypt,"104,124,440",36.44%,33.94%,20.96%,8.65%,,,,
Mongolia,"3,198,913",36.40%,29.20%,8.10%,,13.30%,8.00%,2.00%,0.01%
